"","weekday_sun","temp","dewp","NUM_COLLISIONS"
"520",4,62.5,55.2,0.789617486338798
"521",5,71.6,62.9,0.781420765027322
"522",6,67.3,61.5,0.814207650273224
"523",2,59.9,46.2,0.491803278688525
"524",1,63.2,49.2,0.273224043715847
"525",3,62.1,50.3,0.729508196721312
"526",4,60,51.9,0.69672131147541
"527",5,66.8,61.6,0.734972677595628
"528",6,66.7,64.4,0.800546448087432
"529",7,63.9,53.8,0.773224043715847
"530",2,62.2,51.9,0.639344262295082
"531",1,64.7,57.9,0.437158469945355
"532",3,67.3,61.6,0.636612021857924
"533",4,68.6,65.1,0.653005464480874
"534",5,69,66,0.76775956284153
"535",6,69.1,67.3,0.991803278688525
"536",2,67,55.8,0.349726775956284
"537",1,68.2,59.1,0.202185792349727
"538",3,68.6,62.8,0.647540983606557
"539",4,69.5,66.2,0.592896174863388
"540",5,69.4,66.7,0.524590163934426
"541",6,69.4,66.1,0.565573770491803
"542",7,69.1,62.4,0.724043715846995
"543",2,65.7,58.8,0.472677595628415
"544",1,68.7,63.6,0.169398907103825
"545",3,69.7,67,0.519125683060109
"546",4,71.4,69.1,0.573770491803279
"547",5,70.4,68.5,0.475409836065574
"548",6,70.4,63.7,0.573770491803279
"549",7,69.6,59.4,0.674863387978142
"550",2,65,54.1,0.281420765027322
"551",1,65.2,57.9,0.202185792349727
"552",3,65.9,63.3,0.491803278688525
"553",4,67.1,63.5,0.573770491803279
"554",5,69.2,65.9,0.584699453551913
"555",6,69.6,66.7,0.442622950819672
"556",7,67.4,60.8,0.754098360655738
"557",2,66.9,63.2,0.42896174863388
"558",1,68.6,65.2,0.270491803278689
"559",3,69.4,66.9,0.595628415300546
"560",4,68.9,62.8,0.407103825136612
"561",5,67.3,60.6,0.622950819672131
"562",6,67.7,62.9,0.680327868852459
"563",7,67.5,62.9,0.792349726775956
"564",2,64.3,60,0.445355191256831
"565",1,66.4,64.6,0.270491803278689
"566",3,68.2,65.5,0.579234972677596
"567",4,69.2,67.4,0.62568306010929
"568",5,70.1,65.7,0.505464480874317
"569",6,69.3,60.6,0.568306010928962
"570",7,66.3,57.6,0.612021857923497
"571",2,70.4,61.3,0.439890710382514
"572",1,69.1,61.4,0.368852459016393
"573",3,66.3,59.2,0.620218579234973
"574",4,67.2,62.2,0.311475409836066
"575",5,66.6,63.5,0.532786885245902
"576",6,67.8,60.8,0.677595628415301
"577",7,66.8,59.2,0.396174863387978
"578",2,66.3,58.8,0.308743169398907
"579",1,68.3,64.7,0.270491803278689
"580",3,67.9,57.7,0.595628415300546
"581",4,63.9,56.9,0.379781420765027
"582",5,63.8,55.9,0.475409836065574
"583",6,67.1,60.6,0.519125683060109
"584",7,63.9,60,0.521857923497268
"585",2,65.6,60.1,0.210382513661202
"586",1,63.9,56.8,0.163934426229508
"587",3,63.3,56.5,0.469945355191257
"588",4,63,56,0.631147540983607
"589",5,67.5,64.7,0.439890710382514
"590",6,71,62.4,0.658469945355191
"591",7,67.2,53.4,0.693989071038251
"592",2,60.1,51.2,0.363387978142077
"593",1,69.1,65.6,0.322404371584699
"594",3,71.5,69.2,0.040983606557377
"595",4,71.1,69.4,0.882513661202186
"596",5,74,65.1,0.554644808743169
"597",6,69.4,60.8,0.956284153005464
"598",7,70.3,67.2,0.737704918032787
"599",2,72,69.9,0.480874316939891
"600",1,70.1,62.9,0.273224043715847
"601",3,63.6,55.3,0.603825136612022
"602",4,64.6,56.5,0.587431693989071
"603",5,66.2,61.2,0.658469945355191
"604",6,64.4,60.3,0.66120218579235
"605",7,67.1,58.8,0.96448087431694
"606",2,59.9,53.2,0.494535519125683
"607",1,62.2,54.3,0.412568306010929
"608",3,57.5,47.6,0.636612021857924
"609",4,61.2,50.8,0.644808743169399
"610",5,61.9,54.4,0.76775956284153
"611",6,61.1,47.4,0.745901639344262
"612",7,57.2,42.7,0.740437158469945
"613",2,57,47.3,0.592896174863388
"614",1,66.1,63.2,0.377049180327869
"615",3,67.9,61.5,0.778688524590164
"616",4,59,42.3,0.587431693989071
"617",5,58.9,51.3,0.516393442622951
"618",6,59.7,55.3,0.311475409836066
"619",7,63.1,59.1,0.726775956284153
"620",2,63.5,55.3,0.609289617486339
"621",1,63.3,58.5,0.368852459016393
"622",3,65.9,63.2,0.516393442622951
"623",4,63.3,61.3,0.579234972677596
"624",5,62.4,60.6,0.497267759562842
"625",6,59.9,56.3,0.494535519125683
"626",7,58.5,54,0.934426229508197
"627",2,59.4,57.3,0.420765027322404
"628",1,59.6,50.4,0.349726775956284
"629",3,55.7,42.6,0.715846994535519
"630",4,63,57,0.663934426229508
"631",5,65.2,60.4,0.715846994535519
"632",6,60.8,45.9,0.333333333333333
"633",7,59,44,0.448087431693989
"634",2,52.9,48.1,0.461748633879781
"635",1,53.3,43.7,0.262295081967213
"636",3,50.9,43.2,0.202185792349727
"637",4,63.2,58.4,0.87431693989071
"638",5,64.9,62.1,0.540983606557377
